,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
165,LTC,4/25/2017,litecoin,15.06,0.068908,0.06592,0.90444,0.0296
166,XLM,4/25/2017,stellar,0.00377,0.293236,0.15096,0.82,0.02916
167,NEO,4/25/2017,neo,0.1846,-0.000396,0.0292,0.96348,0.00732
168,EOS,4/25/2017,eos,0,0.083368,0.08612,0.85192,0.06208
169,XEM,4/25/2017,nem,0.03732,-0.029456,0,0.98536,0.01464
170,BTC,4/26/2017,bitcoin,1286.63,0.132948,0.07676,0.90988,0.01336
171,ETH,4/26/2017,ethereum,53.28,0.063444,0.06932,0.89016,0.04064
172,XRP,4/26/2017,ripple,0.03275,0.010928,0.00556,0.99444,0
173,BCH,4/26/2017,bitcoin cash,0,0.080712,0.06892,0.89328,0.0378
174,ADA,4/26/2017,cardano,0,-0.03552,0,0.9746,0.0254
175,LTC,4/26/2017,litecoin,14.89,0.106844,0.0652,0.91084,0.02396
176,XLM,4/26/2017,stellar,0.004026,0.05056,0.0678,0.87868,0.05352
177,NEO,4/26/2017,neo,0.1846,0.015948,0.03672,0.958,0.00528
178,EOS,4/26/2017,eos,0,-0.046036,0.07272,0.83248,0.0948
179,XEM,4/26/2017,nem,0.04999,-0.079556,0.02252,0.91036,0.06712
180,BTC,4/27/2017,bitcoin,1332.91,0.162284,0.1208,0.86896,0.01024
181,ETH,4/27/2017,ethereum,63.14,0.119712,0.06728,0.92896,0.00376
182,XRP,4/27/2017,ripple,0.03523,0.093288,0.08172,0.8954,0.02288
183,BCH,4/27/2017,bitcoin cash,0,0.06992,0.04004,0.94568,0.01428
184,ADA,4/27/2017,cardano,0,0.010928,0.00416,0.99584,0
185,LTC,4/27/2017,litecoin,14.66,0.106,0.08508,0.86908,0.0458
186,XLM,4/27/2017,stellar,0.004033,0.301936,0.1606,0.82376,0.0156
187,NEO,4/27/2017,neo,0.2103,0.015408,0.03132,0.91892,0.00976
188,EOS,4/27/2017,eos,0,-0.161068,0.03552,0.86672,0.09776
189,XEM,4/27/2017,nem,0.04739,-0.030432,0.00536,0.9682,0.02644
190,BTC,4/28/2017,bitcoin,1329.62,0.155048,0.08856,0.88768,0.02384
191,ETH,4/28/2017,ethereum,72.42,0.194672,0.1056,0.87404,0.02036
192,XRP,4/28/2017,ripple,0.045,0.010364,0.04036,0.90092,0.05872
193,BCH,4/28/2017,bitcoin cash,0,0.140416,0.0704,0.91248,0.01708
194,ADA,4/28/2017,cardano,0,0.016288,0.014,0.98144,0.00456
195,LTC,4/28/2017,litecoin,14.25,0.274296,0.14012,0.85988,0
196,XLM,4/28/2017,stellar,0.004535,0.275,0.13064,0.84612,0.02328
197,NEO,4/28/2017,neo,0.23,0.032492,0.05352,0.87332,0.07316
198,EOS,4/28/2017,eos,0,0.062304,0.06188,0.89728,0.04084
199,XEM,4/28/2017,nem,0.04948,-0.012028,0.01292,0.96504,0.02204
200,BTC,4/29/2017,bitcoin,1336.28,0.174064,0.11176,0.88016,0.00808
201,ETH,4/29/2017,ethereum,69.83,0.09278,0.10616,0.84744,0.0464
202,XRP,4/29/2017,ripple,0.05383,0.086952,0.05696,0.91908,0.02396
203,BCH,4/29/2017,bitcoin cash,0,0.23616,0.10572,0.87456,0.01972
204,ADA,4/29/2017,cardano,0,-0.04736,0.04,0.7858,0.0942
205,LTC,4/29/2017,litecoin,15.75,0.16434,0.09344,0.89308,0.01348
206,XLM,4/29/2017,stellar,0.004661,0.183496,0.11372,0.8648,0.02144
207,NEO,4/29/2017,neo,0.2765,-0.023616,0.00964,0.9668,0.02352
208,EOS,4/29/2017,eos,0,-0.04692,0.04136,0.86644,0.05216
209,XEM,4/29/2017,nem,0.04846,-0.010168,0.0052,0.98228,0.01252
210,BTC,4/30/2017,bitcoin,1351.91,0.204,0.11808,0.85972,0.02216
211,ETH,4/30/2017,ethereum,79.83,0.185848,0.1112,0.88196,0.00684
212,XRP,4/30/2017,ripple,0.05218,0.091624,0.049,0.94572,0.00528
213,BCH,4/30/2017,bitcoin cash,0,0.169408,0.11012,0.866,0.02388
214,ADA,4/30/2017,cardano,0,-0.007604,0.00736,0.9482,0.04444
215,LTC,4/30/2017,litecoin,15.63,0.196336,0.10584,0.89416,0
216,XLM,4/30/2017,stellar,0.004805,0.310132,0.157,0.82936,0.01364
217,NEO,4/30/2017,neo,0.3636,0.010928,0.00348,0.99652,0
218,EOS,4/30/2017,eos,0,0.007984,0.05612,0.88644,0.05744
219,XEM,4/30/2017,nem,0.05176,0.019948,0.01548,0.96412,0.0204
